,title,length,views,url,type of discourse,label
0,Escúchalo completo en Más Allá del Rosa en YouTube,59,77621,https://www.youtube.com/watch?v=lfKUPNGm2Ns,interview,non-hate
1,"AMLO responde a #XóchitlGálvez y niega ser #machista: ""eso sí calienta"" #Short #LaMañanera",55,3196828,https://www.youtube.com/watch?v=TCz4dMRtR_M,speech,non-hate
2,El hombre no se cansa de la misma mujer 🦉#reflexion #amorpropio #crecimientopersonal #relaciones,27,23130,https://www.youtube.com/watch?v=PhoIN9hqRgE,speech,hate
3,Identidad de genero #short #identidadegenero #identidad #géneros #genero #trans #lgbt #lgtbiq #gay,21,647,https://www.youtube.com/watch?v=I4mFxY4mhGE,speech,non-hate
4,NATALIA MALDINI: El machismo en la industria del cine,60,824,https://www.youtube.com/watch?v=cODcojX6DpI,speech,non-hate
5,#marthaherrera #feminismo #mujeresqueinspiran #mujeresempoderadas #viral,39,4319,https://www.youtube.com/watch?v=84cwTQq5eCs,speech,non-hate
6,El Patriarcado existe? actualmente?#transgeneros #bisexual#lgtbespaña #machoalfa#patriarcado#hombre,37,3018,https://www.youtube.com/watch?v=dBLiOltdRp0,speech,hate
7,HOMBRES vs MUJERES 🏝️ #shorts #feminismo #youtubeshorts #viral #viralvideo #shortvideo #short,32,12699,https://www.youtube.com/watch?v=ZcAj8ZtAJYY,response,hate
8,ERES UN CARA #soyunmono #leytrans #8M #feminismo #humor #viral,52,12574,https://www.youtube.com/watch?v=QPBlryr7GII,speech,hate
9,🧐¿Que son los estereotipos de género? ⚧,56,461,https://www.youtube.com/watch?v=g_0ZaJKIXnQ,speech,non-hate
10,HIJO DE BEN AFFLECK REVELÓ SER NO BINARIO 🗣   #TelemetroNews #shorts,43,5807,https://www.youtube.com/watch?v=UO3CfhlVRCo,debate,non-hate
11,"Un ""divorcio duro"" no justifica la violencia machista, señor Feijóo",46,7721,https://www.youtube.com/watch?v=KI-VTOi5oMU,debate,non-hate
12,El patriarcado me golpea,33,1416,https://www.youtube.com/watch?v=fo--PMipPzk,debate,hate
13,Opiniones? 🤔👀🤷🏻‍♂️🏳️‍🌈 #feminismo #shorts #viral #youtubeshorts #short #viralvideo #youtube,49,10156,https://www.youtube.com/watch?v=Z_QTFiLxi9Y,interview,non-hate
14,"Me dijo ""ME GUSTAS PERO ERES GORDA"" 😱 | UnTalFredo",59,45540,https://www.youtube.com/watch?v=Cfj2eLLWJmo,speech,non-hate
15,"#Shorts Nueva violencia machista, más barbarie",60,537,https://www.youtube.com/watch?v=dw66KlJJRvE,speech,non-hate
16,La brecha salarial no existe. @paulattier #brechasalarial #feminismo #redpillpodcast,54,256315,https://www.youtube.com/watch?v=8GeaH7aD-SI,speech,non-hate
17,El hombre es la provisión y la cobertura y la mujer es el corazón y la paz ❤️ #roles #genero,49,2503,https://www.youtube.com/watch?v=Zs9X5Nd_IyU,debate,non-hate
18,MI TÍO MENOS MACHISTA,13,1689,https://www.youtube.com/watch?v=HsArrj64rFk,response,hate
19,Frank Cuesta opina del movimiento LGBT+,60,1562451,https://www.youtube.com/watch?v=zTnVOjKJ_PE,debate,hate
20,El mundo putrefacto de los #progres nos daña El #cambiodesexo algo grave que ellos toman a la ligera,57,1962,https://www.youtube.com/watch?v=zxDo6081eCQ,debate,hate
21,Esto es el feminismo💜 #feminismo #feminista #shorts #youtube #ideas #parati #amorpropio,20,16719,https://www.youtube.com/watch?v=0LUkqeVGMLc,speech,non-hate
22,Mensaje imperdible. #Mujeres #estereotipos  #setu,45,36,https://www.youtube.com/watch?v=iuDGmhp-XCI,debate,non-hate
23,Se utiliza bien la palabra #machista?,61,1215,https://www.youtube.com/watch?v=GK6eONcUEZg,response,hate
24,un chiste machista,9,1794,https://www.youtube.com/watch?v=UZtjfPLHhb4,debate,hate
25,En el Día Internacional de la Mujer debemos reflexionar sobre lo que Dios dice,37,7583,https://www.youtube.com/watch?v=_vClks3kzK8,speech,hate
26,Recibo hate por mi edad y respondo 🤬,48,7141417,https://www.youtube.com/watch?v=VUh9Jgr93KA,response,hate
27,El impacto cultural de los baños neutrales en cuanto al género en los Estados Unidos,33,2873,https://www.youtube.com/watch?v=3Ieo9Bq9wX4,debate,hate
28,"NEVENKA: ""Enfrentarme a mi agresor casi me cuesta la vida"" #machismo #feminismo #shorts #shortvideo",60,6055,https://www.youtube.com/watch?v=n3T8l5l8PH4,debate,non-hate
29,✔ Género no BINARIO ¿Son RADICALES?🤔(Nicole Gordita),49,6712,https://www.youtube.com/watch?v=HaSZBRghTqk,debate,non-hate
30,¿Una chica trans debería hablar sobre su identidad de género antes de una cita?,59,1251729,https://www.youtube.com/watch?v=PxlSUMQ_2z8,informative,non-hate
31,LA MASCULINIDAD NO ES TÓXICA,49,5918,https://www.youtube.com/watch?v=licDSLUid04,speech,hate
32,"Bustamante se disculpa por decir que no es ""ni machista ni feminista""",65,7734,https://www.youtube.com/watch?v=cc0pl0_fXbc,speech,non-hate
33,OJALÁ ME SALVE UN HOMBRE👨🏽‍🚒👨🏽‍🚒#short #podcast #show #bomberos #igualdad #hombres #feminismo #mujer,34,11098,https://www.youtube.com/watch?v=kvdWJ3RGRfk,speech,hate
34,MASCULINIDAD TOXICA,57,23806,https://www.youtube.com/watch?v=ghtCIAxYjWs,speech,non-hate
35,ENTREVISTA | PRIMER MARCHA POR LA VISIBILIDAD TRANS BINARIA🏳️‍⚧️ & NO BINARIE💛🤍💜🖤 - COLIMA.,60,517,https://www.youtube.com/watch?v=OctjUNQaZSE,speech,non-hate
36,En Domina estamos rompiendo estereotipos de género 💙​,44,71,https://www.youtube.com/watch?v=qZvBqo_bkRg,speech,non-hate
37,A FONDO | Desigualdad social y laboral,20,265,https://www.youtube.com/watch?v=AJ7xKbmCrjg,speech,non-hate
38,Los roles de género pueden ser asfixiantes 🙄 #podcast #seregalandudas,57,6503,https://www.youtube.com/watch?v=fa8YAaqevAM,debate,non-hate
39,¿Un hijo transgénero no binario?,18,1476,https://www.youtube.com/watch?v=HkMnfkQ-jek,debate,hate
40,¿El 8M se ha desvirtuado o se ha fortalecido en México? Esto piensan las jóvenes #SinFiltro.,53,1609,https://www.youtube.com/watch?v=3lYAv6ZvbDU,debate,non-hate
41,Los No Binarios 🏳️‍🌈 son Binarios🤣,43,8083,https://www.youtube.com/watch?v=cocUtlUSUMU,speech,hate
42,"Actor de ""El juego del calamar"" es acusado de abus0 sexual",60,558180,https://www.youtube.com/watch?v=8j74kQ97Q7M,informative,non-hate
43,"El machista margina a la mujer, la sociedad necesita hombres",30,324,https://www.youtube.com/watch?v=3YMJhZlu93c,speech,non-hate
44,Quema de brujas feminista #compas #feminismo #ideologiadegenero #opinion #machismo,41,45993,https://www.youtube.com/watch?v=esDCouAMbjs,speech,hate
45,FRANK: NO SE PUEDE DECIR NADA,53,216644,https://www.youtube.com/watch?v=sJ0ILNpL-8E,speech,hate
46,#AmigoDateCuenta Hablemos de los privilegios con los que nos crian a los varones,67,42738,https://www.youtube.com/watch?v=q4bWBw-b98E,informative,non-hate
47,Así es tener mujer y novia a la vez #tengounplan1,44,965322,https://www.youtube.com/watch?v=0Bne0cItTow,interview,non-hate
48,¿Hay igualdad? #entrevistas #política #8m #feminismo #patriarcado #machismo #igualdad #desigualdad,56,6367,https://www.youtube.com/watch?v=n8UqQL5THRs,speech,non-hate
49,Deberian los baños ser Unisex? 😬🧐 #machismo #feminismo #hombres #mujer #lgbt #genero #igualdad,16,10515,https://www.youtube.com/watch?v=Y06a1UIRXwY,interview,non-hate
50,Privilegios masculinos y que hacer con ellos.,28,422,https://www.youtube.com/watch?v=iNRNhBpOz5Y,interview,non-hate
51,X Género no binario y DNI Que opinan?,15,6463,https://www.youtube.com/watch?v=49aVXq3dRYY,informative,non-hate
52,día del orgullo,11,1436,https://www.youtube.com/watch?v=tKYks89ZOOM,informative,non-hate
53,Los privilegios de ser hombre …,46,70,https://www.youtube.com/watch?v=rh2S5iqAxG4,debate,non-hate
54,Reclama tu lugar y no dejes que nada ni nadie te opaque. #parati #feminismo #youtubeshorts,52,62452,https://www.youtube.com/watch?v=Zqjo-Iz6_5s,interview,non-hate
55,👀EL JINCHO DESMONTA LA IDEOLOGIA DE IRENE MONTERO #shorts #irenemontero #eljincho #ideologiadegenero,53,69065,https://www.youtube.com/watch?v=qd0_dRQpaaE,speech,hate
56,La BRECHA SALARIAL NO EXISTE #shorts,39,3072,https://www.youtube.com/watch?v=cK0YeB88-_o,reponse,hate
57,¿Discriminación en baños a mujeres trans en CDMX? - #SinFiltro,58,1018,https://www.youtube.com/watch?v=8DLwd7cbRcA,report,non-hate
58,Las mujeres que trabajan vs las amas de casa #feministas #mujeres #derechos #mexico,59,397,https://www.youtube.com/watch?v=1I73pS3342k,debate,non-hate
59,Igualdad de oportunidades. #feminismo #radfem #igualdad #redill,54,7750,https://www.youtube.com/watch?v=2bqBVg4cCoY,speech,hate
60,Estereotipos de género #elianegallero #podcast #stefroitman #ntertainstudios,60,1054,https://www.youtube.com/watch?v=aZ7xbfYXqzk,interview,non-hate
61,EMILIA MERNES: “La industria sigue siendo súper machista” | #Shorts,60,4351,https://www.youtube.com/watch?v=YDl9m9G1URA,speech,non-hate
62,¿Y DONDE QUEDÓ EL PATRIARCADO? - Agustin Laje,57,31677,https://www.youtube.com/watch?v=IUc8hybpt5g,response,hate
63,Hombre invisible #humor #igualdad #comedia #hombre #invisible,20,5742,https://www.youtube.com/watch?v=urptR7O8k3Y,speech,hate
64,¿Cómo sostienen los privilegios?,28,16,https://www.youtube.com/watch?v=wzvbT9cpyrs,informative,non-hate
65,Actitudes machistas y cómo actuar frente a ellas #shorts #actuar #machismo #reflexiones #parati,40,784,https://www.youtube.com/watch?v=aHoEvKk6-Rg,informative,non-hate
66,WTF GERMAN MACHISTA?,16,604,https://www.youtube.com/watch?v=DDKZioujniY,parody,hate
67,Progresismo | Modernidad,56,487,https://www.youtube.com/watch?v=01vPBwuybUI,response,hate
68,danann doma a feminista en vivo 🗽#debate #liberal #fyp #shorts,55,1645162,https://www.youtube.com/watch?v=wL9DzFb18Fo,debate,hate
69,Cristina Fallarás: “La maternidad es la herramienta del patriarcado para someternos”,58,402,https://www.youtube.com/watch?v=gq6DwyslxA0,speech,non-hate
70,"""Yo por la mañana soy hombre, por la tarde soy mujer y por la noche soy caballo...""",43,5005,https://www.youtube.com/watch?v=fAe4CNrQbCw,speech,hate
71,¿Qué es ser no binarie? Te explicamos todo lo que necesitas saber de esta identidad,48,4261,https://www.youtube.com/watch?v=jZyzLZgYUag,informative,non-hate
72,PRIVILEGIOS POR SER HOMBRE,56,2221,https://www.youtube.com/watch?v=x_jILT3quz8,debate,non-hate
73,#feminismo #viral #parejastoxicas #parejaabusiva,60,31576,https://www.youtube.com/watch?v=mM8xdt9_8zE,debate,non-hate
74,Estereotipos de género,22,3479,https://www.youtube.com/watch?v=36_ah8xvVqw,debate,non-hate
75,A mis papás les dijeron que yo iba a nacer niño,60,16511,https://www.youtube.com/watch?v=u7k_5E8y9Ac,speech,non-hate
76,Mujeres promiscuas no son queridas #redpill #podcast #madres,44,174974,https://www.youtube.com/watch?v=j3I65SWFrfs,debate,hate
77,La definición de mujer de Irene Montero #endikafl #liberalismo #españa #ideologiadegenero #milei,59,2676,https://www.youtube.com/watch?v=p8A8XzJSzQg,speech,hate
78,Llámame guape #shorts #floramargo #trans #nobinarie,58,76181,https://www.youtube.com/watch?v=f3OpR3YXt48,speech,non-hate
79,El problema del patriarcado,39,822,https://www.youtube.com/watch?v=FMjvOerU4P8,debate,non-hate
80,Ser fiel no es un sacrificio Es un privilegio Que pocas Personas tienen 👏🏻❤️,12,3755,https://www.youtube.com/watch?v=Q8gPf9vfhQ0,speech,non-hate
81,DISNEY APUESTA FUERTE por el PROGRESISMO!!!,60,86473,https://www.youtube.com/watch?v=m-cZHMNLQQU,report,hate
82,"Machismo, feminismo y misandria",58,182304,https://www.youtube.com/watch?v=CzAEvUdJbBU,informative,non-hate
83,José Maria Muscari te invita a la primera Marcha No Binarie #nobinarie #muscari #marchanobinarie,12,1272,https://www.youtube.com/watch?v=zOnwhhE-ouE,speech,non-hate
84,"""Hombres que Resuelven"" desde una perspectiva patriarcal | Feminismo en Corto sin Tanto Rollo",60,2501,https://www.youtube.com/watch?v=itw9D_m5vp4,speech,non-hate
85,¿Está la sociedad occidental más avanzada? #entrevistas #política #feminismo #patriarcado #machismo,45,2915,https://www.youtube.com/watch?v=EbQ5qlBtRO0,interview,non-hate
86,GORDOFOBIA EN EL CINE | NOS TIENEN CONTENTAS  #shortsfeed  #entrevista,59,19054,https://www.youtube.com/watch?v=yr0iyfQ6npM,interview,non-hate
87,¿Qué es el movimiento TERF?,60,344476,https://www.youtube.com/watch?v=6NWEfTIepbY,interview,non-hate
88,¿QUÉ SON LAS PERSONAS NO BINARIAS?,117,90654,https://www.youtube.com/watch?v=P4wfvuD5xmY,report,non-hate
89,"Nos han enseñado a decir que #no, cuando queremos decir que #si. #podcast #feminismo #debate",60,1101,https://www.youtube.com/watch?v=m10vttIOuQM,debate,non-hate
90,¿Por qué pasa esto con los ginecólogos? #LQNTC,25,4710,https://www.youtube.com/watch?v=lDo1hjTKRzI,speech,non-hate
91,Mujeres con complejo de inferioridad #redpill #machos #feminismo,58,220521,https://www.youtube.com/watch?v=KfqNXZrJCdA,reponse,hate
92,Barbie 💕👱‍♀️ Opinión sin Spoilers #barbie #margotrobbie #cine #peliculas #movies,57,95,https://www.youtube.com/watch?v=VbG_MGM8S8g,speech,non-hate
93,¿Se fuma porros?,58,428,https://www.youtube.com/watch?v=khqzfAmWQTI,response,hate
94,Las mujeres somos un Rolex  Mizada #fernandolozano #shorts #mizadamohamed  #mujeresempoderadas,23,926409,https://www.youtube.com/watch?v=n0dMNQSTDec,interview,non-hate
95,"Sobre las campanadas de Cristina Pedroche, Jenni Hermoso y el feminismo #endikafl #ideologiadegenero",59,957,https://www.youtube.com/watch?v=OoxPI3Aaph0,debate,hate
96,HARTA del MICROMACHISMO 🤬 #podcast #machismo #entrevista #terapia #igualdad #salud #mexico #cdmx,47,440,https://www.youtube.com/watch?v=wR0Zm-uOiTk,interview,non-hate
97,"Eva hache - ""Yo no tengo la regla, soy menopáusica""",57,410501,https://www.youtube.com/watch?v=ENsAO7QGLm8,interview,non-hate
98,Qué es la identidad no binaria ? #lgbtqia #latino #genero #shorts #queer,9,3028,https://www.youtube.com/watch?v=1UfUmhSUUps,informative,non-hate
99,¿Tienes dudas de tu identidad de género? #trans #nobinarie #nonbinary #identidaddegenero,36,41,https://www.youtube.com/watch?v=1BPCo37QEnM,speech,non-hate
100,TENEMOS DERECHOS Y LAS MISMAS OPORTUNIDADES #vemarket #danielcañete #mujeres #igualdad,18,265173,https://www.youtube.com/watch?v=cBucxb14phU,debate,hate
101,¿Es feminista el nuevo videoclip de Bad Gyal? | Aida Bao en Notas de voz desde la terraza,132,624,https://www.youtube.com/watch?v=mXQ6GLxpG3w,debate,non-hate
102,MERNUEL MACHISTA,16,489452,https://www.youtube.com/watch?v=2A27yqCKN7Q,response,hate
103,Encontre la MUJER DE MIS SUEÑOS | llados,37,22035,https://www.youtube.com/watch?v=28cSBm6bCxY,interview,non-hate
104,¿Miare es una víctima de su madre? #delox #dalas #dalasreview #smae_podcast #shorts,54,502027,https://www.youtube.com/watch?v=QZ3RC8gWRh8,response,hate
105,Si mi mujer se pone gorda se va a la calle#mujer #llados #respeto #dios #cuerpo  #amorpropio#dinero,59,10074,https://www.youtube.com/watch?v=JxQQZySPea0,speech,hate
106,"Rufián estalla en defensa de Irene Montero: ""Ya basta""",43,61036,https://www.youtube.com/watch?v=4y7cYXO7B_k,interview,non-hate
107,5 famosos de género no binario que no sabías #lgbt #bisexual,48,2769,https://www.youtube.com/watch?v=68z5WuMIGvE,debate,non-hate
108,LA MASCULINIDAD EN BARBIE #peliculadebarbie  #barbie #barbiemovie #barbielapelicula #barbieopinion,58,3593,https://www.youtube.com/watch?v=HnbENVnPJ5g,speech,non-hate
109,Jordi Wild da su opinión sobre la película de Barbie y de la gente que se ha ofendido por ella,59,717086,https://www.youtube.com/watch?v=yamwqK78-ak,debate,non-hate
110,Candidata Catalina Ortiz reconoce que video de acto machista fue un montaje #Shorts | El Tiempo,60,16005,https://www.youtube.com/watch?v=exM2nj-KYoQ,interview,non-hate
111,¿Machismo igual a misoginia?,16,2399,https://www.youtube.com/watch?v=a8UBtrquqws,speech,non-hate
112,"""Hay un meme con ser machista en RRSS y al final se perpetúa"" Andrea Menéndez",26,18740,https://www.youtube.com/watch?v=NEZvCHvmzGA,interview,non-hate
113,El privilegio de ser hombre??,45,37,https://www.youtube.com/watch?v=ekCm5PS58jo,debate,hate
114,Machismo en la carrera de la mujer? #feminismo #política #críticasocial,54,523,https://www.youtube.com/watch?v=NrNIJAxyKio,interview,hate
115,"""No soy ni esto ni aquello""",49,2583,https://www.youtube.com/watch?v=iNYqfCQ5F6Q,interview,non-hate
116,"Si el MÉDICO te dice que DEBERÍAS ADELGAZAR, es GORDÓFOBO ⚠️ #gordofobia #saludmental #brianzaballos",60,1935492,https://www.youtube.com/watch?v=WaYa9jOWAGA,response,hate
117,Like si tú también te identificas como Ironman#mujeres #trans #transgenero #transfobia #feminista,41,1184411,https://www.youtube.com/watch?v=20otbcj_-js,response,hate
118,🟣CARLOS CUEVAS sobre el #MACHISMO y el comportamiento de los #HOMBRES #feminismo #igualdad #shorts,33,18963,https://www.youtube.com/watch?v=nsxr-KiNteo,interview,non-hate
119,“Las mujeres tienen también que hacer pesas” 🏋️‍♀️#tengounplan,59,2290028,https://www.youtube.com/watch?v=IC6BsMn8jD4,interview,non-hate
120,Primer Instituto del Hombre en el Mundo #feminismo #ideologiadegenero #opinion #machismo,60,17070,https://www.youtube.com/watch?v=-y_kB7QeeUk,debate,non-hate
121,¿Quién más me crítica en el colectivo masculino?,56,21060,https://www.youtube.com/watch?v=3lBr_stroPI,debate,non-hate
122,¿Cómo es ser QUEER y con DISCAPACIDAD? | GUZ GUEVARA contra la discriminación #nmasmedia #MEDIA,60,623,https://www.youtube.com/watch?v=TFWeQrYR2jY,informative,non-hate
123,"MACHO OPRESOR Y PATRIARCAL, TE ATIENDE DANNAN | Jorge Libertad 🗽",60,390852,https://www.youtube.com/watch?v=eMcYc06pZ9Q,debate,hate
124,"Candela Peña tiene 50 años y dice ESTO sobre ser ""PURETA""",46,85137,https://www.youtube.com/watch?v=qTedC4xtX0Q,debate,non-hate
125,México 🇲🇽 Machista y violento | #NiUnaMenos | #YoTeCreo #YoSiTeCreo | Violencia de Género México,59,171,https://www.youtube.com/watch?v=5I2Dr27Qrc8,speech,non-hate
126,Diversifiquemos las narrativas y rompamos con los estereotipos de género,46,29,https://www.youtube.com/watch?v=9tl0pSTqX3Q,speech,non-hate
127,el día en que el rockero fascista Emmanuel Danann insultó y denigró a una chica provida/#gordofobia,28,16710,https://www.youtube.com/watch?v=yY1TA3KEFZY,debate,hate
128,como? cyqve machista ?,13,261,https://www.youtube.com/watch?v=O34hRQeIHjM,speech,hate
129,“Cada quien puede vestir como quiera” Primer Magistrade No Binario,48,55722,https://www.youtube.com/watch?v=KjIGteaNLHY,informative,non-hate
130,Necesidad de hombres fuertes #eltemach #modoguerra,60,10568,https://www.youtube.com/watch?v=__djQRfqaXY,speech,hate
131,Creo que Marcela es Hombre y no lo sabe :v #zurdos #danann #progresismo #feminismo #feminista,59,534640,https://www.youtube.com/watch?v=eXwmuMbBqMA,debate,hate
132,EL FEMINISMO CONSIENTE A LAS MUJERES #feminismo #cortos,58,18768,https://www.youtube.com/watch?v=6Xm3tFlHmmg,debate,hate
133,El Día de la Visibilidad No Binaria recordamos esta gran respuesta de Irene Montero,53,131226,https://www.youtube.com/watch?v=a_N23xZ6Uhc,speech,non-hate
134,"""Nuestros derechos sexuales es poder disfrutar de nuestro propio cuerpo""",60,25010,https://www.youtube.com/watch?v=--Uerl6fqs0,speech,non-hate
135,¡Combatiendo el Machismo! Desafiando estereotipos de género y promoviendo la igualdad.  #podcast,20,16,https://www.youtube.com/watch?v=avSQrOQCG6U,debate,non-hate
136,Migbelis Castellanos recuerda lo que hizo con su novio cuando empezaban a salir #DesigualesTV,57,900642,https://www.youtube.com/watch?v=b-XrcJCFvrw,speech,non-hate
137,La Barbie que le crecen los pechos - Barbie la película - #curiosidades #barbie,40,4338364,https://www.youtube.com/watch?v=MDK69TIxCts,speech,non-hate
138,¿Cómo es ser mujer empoderada hoy en día? #empoderamiento #psicologia #mujer #poderfemenino,49,11137,https://www.youtube.com/watch?v=dk9YtTucrmM,debate,non-hate
139,Los HOMBRES Son Confusos?,59,2629706,https://www.youtube.com/watch?v=FOgZbB3iuds,debate,hate
140,LA BRECHA SALARIAL ES UN MITO  @IMPERIOKATARSIS  #shorts,36,74,https://www.youtube.com/watch?v=1ARpA5ZuAks,speech,hate
141,LAS GORDAS DE TIKTOK ODIAN A IBAI,526,780521,https://www.youtube.com/watch?v=fGGLUdaNqWM,response,hate
142,LO QUE QUIERAS! #podcast #humor #genero #identidade #ese #ley #hombres #mujeres #viral #shorts #fyp,30,2778,https://www.youtube.com/watch?v=YGgHJACkBR0,speech,hate
143,LA MASCULINIDAD TÓXICA ☢️🧪,47,16350,https://www.youtube.com/watch?v=g592TbQcScs,speech,hate
144,¡Fuí a GOT TALENT!,18,36398,https://www.youtube.com/watch?v=3WAqHY5EbWA,interview,non-hate
145,Provida y proaborto ¡Coincideron!,32,219,https://www.youtube.com/watch?v=gCwtVYzLORQ,debate,non-hate
146,Los Hombres Prefieren MUJERES Dependientes #shorts #caraacara #mujeresempoderadas #terapia #podcast,48,4278,https://www.youtube.com/watch?v=Ovg6iL-_9jo,interview,non-hate
147,¿Tradicional o Moderna?,58,179139,https://www.youtube.com/watch?v=mC93SnMhs5A,informative,non-hate
